Name,Type,Completed,Current / Next Stage,Notes
Trading Latam,School / Education,PKO,Entering Pilot,Schedule Pilot Kick Off Call
Blueberry Markets,Broker,Discovery,Interested in pilot,Schedule Pilot Kick Off Call - in March
HFM Markets,Broker,Demo,Testing interested in pilot,Schedule a pilot kick off call with the team
NAGA Group,Broker,Demo,Interested in partnering,waiting for him to send a CPA/ CPL deal offer
GSS,Broker,Light Demo,Demo / PKO,Schedule a full demo with his team to get everyone on board
Dupoin,Broker,Demo,PKO,Reschedule
Kira Financial,Broker,Disco / Light Demo,PKO,Schedule call with his management team for demo and PKO
Lirunex,Broker,Demo,PKO,Reschedule
Empowex,Affiliate,Disco / Light Demo,Partner,FU with him constantly for partnership deals
Bright Wave Academy,Affiliate / Education,Disco / Light Demo,PKO,Schedule a call with his management team for demo and PKO
GTCFX,Broker,Disco / Light Demo,PKO,Reschedule
PU Prime,Broker,Demo,PKO,Reschedule
Vantage Markets,Broker,Disco,Disco / Demo,Demo Call
Spark FX Academy,Academy,Disco,Demo,
Ultima Markets,Partnership,Discovery,Demo,schedule demo with team
One Royal,BDM,Disco / Light Demo,PKO,Schedule a pilot kick off call with the team
PU Prime,Broker,Demo,Entering Pilot,reengage
Doo Prime,Broker,Demo,PKO,reengage
OrderGlo,Broker,disco / light demo,Demo,reengage
EBC,Broker,Had disco,Demo,reengage
Lirunex,Broker,Had Demo,Drop,Not a good fit
Swissquote,Bank / Broker,Had Disco,Drop,Not a good fit
